Date	Price	Open	High	Low	Change %
6-Mar-18	"13,775.00"	"13,750.00"	"13,785.00"	"13,745.00"	0.09
5-Mar-18	"13,762.50"	"13,737.50"	"13,775.50"	"13,737.50"	0.04
2-Mar-18	"13,757.50"	"13,722.50"	"13,762.50"	"13,722.50"	0.07
1-Mar-18	"13,747.50"	"13,782.50"	"13,802.50"	"13,742.50"	0.02
28-Feb-18	"13,745.00"	"13,705.00"	"13,755.00"	"13,705.00"	0.51
27-Feb-18	"13,675.00"	"13,652.00"	"13,685.00"	"13,650.00"	0.11
26-Feb-18	"13,660.00"	"13,660.00"	"13,665.00"	"13,645.00"	-0.05
23-Feb-18	"13,667.50"	"13,667.50"	"13,684.50"	"13,662.50"	-0.11
22-Feb-18	"13,682.50"	"13,652.50"	"13,690.50"	"13,652.50"	0.47
21-Feb-18	"13,618.50"	"13,575.50"	"13,618.50"	"13,570.50"	0.04
20-Feb-18	"13,612.50"	"13,562.50"	"13,615.50"	"13,562.50"	0.38
19-Feb-18	"13,560.50"	"13,552.50"	"13,562.50"	"13,532.50"	0.01
16-Feb-18	"13,558.50"	"13,558.50"	"13,558.50"	"13,558.50"	0
15-Feb-18	"13,558.50"	"13,591.50"	"13,591.50"	"13,541.50"	-0.51
14-Feb-18	"13,628.50"	"13,647.50"	"13,662.50"	"13,612.50"	-0.21
13-Feb-18	"13,657.50"	"13,632.50"	"13,657.50"	"13,632.50"	0
12-Feb-18	"13,657.50"	"13,607.50"	"13,657.50"	"13,597.50"	0.22
9-Feb-18	"13,627.50"	"13,642.50"	"13,650.50"	"13,617.50"	0.17
8-Feb-18	"13,605.00"	"13,605.00"	"13,627.00"	"13,595.00"	0.38
7-Feb-18	"13,553.00"	"13,526.00"	"13,561.00"	"13,523.00"	0
6-Feb-18	"13,552.50"	"13,567.50"	"13,607.50"	"13,552.50"	0.2
5-Feb-18	"13,525.00"	"13,495.00"	"13,530.00"	"13,495.00"	0.55
2-Feb-18	"13,451.50"	"13,413.50"	"13,453.50"	"13,413.50"	0.18
1-Feb-18	"13,427.00"	"13,387.00"	"13,432.00"	"13,387.00"	0.29
31-Jan-18	"13,388.50"	"13,421.50"	"13,426.50"	"13,376.50"	-0.33
30-Jan-18	"13,432.50"	"13,382.50"	"13,442.50"	"13,382.50"	0.52
29-Jan-18	"13,363.50"	"13,311.50"	"13,363.50"	"13,311.50"	0.42
26-Jan-18	"13,307.00"	"13,296.00"	"13,311.00"	"13,296.00"	0.14
25-Jan-18	"13,288.50"	"13,291.50"	"13,296.50"	"13,266.50"	-0.19
24-Jan-18	"13,313.50"	"13,317.50"	"13,330.50"	"13,309.50"	-0.09
23-Jan-18	"13,325.00"	"13,335.00"	"13,336.00"	"13,310.00"	-0.17
22-Jan-18	"13,347.50"	"13,320.50"	"13,350.50"	"13,320.50"	0.26
19-Jan-18	"13,313.50"	"13,338.50"	"13,343.50"	"13,286.50"	-0.24
18-Jan-18	"13,346.00"	"13,361.00"	"13,371.00"	"13,341.00"	-0.09
17-Jan-18	"13,357.50"	"13,317.50"	"13,362.50"	"13,317.50"	0.15
16-Jan-18	"13,337.50"	"13,330.50"	"13,340.50"	"13,325.50"	0.02
15-Jan-18	"13,334.50"	"13,325.50"	"13,338.50"	"13,315.50"	-0.14
